id,model,avg_similarity,avg_naturalness
1,DockerFill,1,4.5
2,DockerFill,1,2.5
3,DockerFill,1,4
4,DockerFill,5,5
5,DockerFill,2.5,5
6,DockerFill,3.5,4.5
7,DockerFill,1,2
8,DockerFill,3,3.5
9,DockerFill,5,5
10,DockerFill,3,2.5
11,DockerFill,1,3
12,DockerFill,2,2
13,DockerFill,3,3
14,DockerFill,1,3.5
15,DockerFill,5,5
16,DockerFill,1,2.5
17,DockerFill,1,2.5
18,DockerFill,1,5
19,DockerFill,3,3.5
20,DockerFill,5,5
21,DockerFill,4.5,4.5
22,DockerFill,5,5
23,DockerFill,1,3.5
24,DockerFill,5,5
25,DockerFill,3.5,4
26,DockerFill,3,4.5
27,DockerFill,5,5
28,DockerFill,2,1.5
29,DockerFill,5,5
30,DockerFill,5,5
31,DockerFill,1.5,2
32,DockerFill,3,3
33,DockerFill,3.5,2
34,DockerFill,3,3
35,DockerFill,5,5
36,DockerFill,3,4
37,DockerFill,5,5
38,DockerFill,2.5,2
39,DockerFill,3.5,4
40,DockerFill,3,4.5
41,DockerFill,1,3
42,DockerFill,4,5
43,DockerFill,5,5
44,DockerFill,1,2.5
45,DockerFill,3,3
46,DockerFill,3.5,3.5
47,DockerFill,1,2.5
48,DockerFill,2,3
49,DockerFill,1,1.5
50,DockerFill,1,2.5
51,DockerFill,5,5
52,DockerFill,3.5,2
53,DockerFill,3,3.5
54,DockerFill,3.5,3
55,DockerFill,3,2.5
56,DockerFill,1,1.5
57,DockerFill,5,5
58,DockerFill,3,3
59,DockerFill,5,5
60,DockerFill,3,3.5
61,DockerFill,3.5,5
62,DockerFill,5,5
63,DockerFill,1,2.5
64,DockerFill,2.5,1.5
65,DockerFill,1,2.5
66,DockerFill,5,5
67,DockerFill,3.5,4.5
68,DockerFill,1,2.5
69,DockerFill,2.5,3.5
70,DockerFill,1,2
71,DockerFill,4,2.5
72,DockerFill,4,2.5
73,DockerFill,4,2.5
74,DockerFill,3.5,2.5
75,DockerFill,5,5
76,DockerFill,5,5
77,DockerFill,3,3
78,DockerFill,1,4
79,DockerFill,1,1.5
80,DockerFill,1,5
81,DockerFill,3.5,4
82,DockerFill,4,3.5
83,DockerFill,1,2
84,DockerFill,1,2.5
85,DockerFill,1,2.5
86,DockerFill,1,2
87,DockerFill,1,4
88,DockerFill,3,3.5
89,DockerFill,1,1.5
90,DockerFill,4,2.5
91,DockerFill,3,3
92,DockerFill,5,5
93,DockerFill,4,4.5
94,DockerFill,2.5,3
95,DockerFill,1,2
96,DockerFill,1,2
97,DockerFill,1,1.5
98,DockerFill,3,3
99,DockerFill,3,5
100,DockerFill,4,4.5
101,DockerFill,3.5,4
102,DockerFill,1,5
103,DockerFill,4,4.5
104,DockerFill,2,2.5
105,DockerFill,5,5
106,DockerFill,4,4
107,DockerFill,5,5
108,DockerFill,3,2.5
109,DockerFill,2.5,1.5
110,DockerFill,1,1.5
111,DockerFill,1,1.5
112,DockerFill,1,3
113,DockerFill,1,4.5
114,DockerFill,2.5,1.5
115,DockerFill,1,3.5
116,DockerFill,1,1.5
117,DockerFill,5,5
118,DockerFill,3,4
119,DockerFill,1,1.5
120,DockerFill,1,2.5
121,DockerFill,1,1.5
122,DockerFill,1,2.5
123,DockerFill,5,5
124,DockerFill,3.5,4.5
125,DockerFill,4,2.5
126,DockerFill,2.5,3.5
127,DockerFill,2.5,1.5
128,DockerFill,2,2.5
129,DockerFill,1,4.5
130,DockerFill,1,2.5
131,DockerFill,2.5,1.5
132,DockerFill,2.5,2.5
133,DockerFill,5,5
134,DockerFill,1,3
135,DockerFill,1,1.5
136,DockerFill,5,5
137,DockerFill,2.5,1.5
138,DockerFill,3,5
139,DockerFill,2.5,1.5
140,DockerFill,2.5,1.5
141,DockerFill,5,5
142,DockerFill,1,4.5
143,DockerFill,3,3
144,DockerFill,1,3
145,DockerFill,5,5
146,DockerFill,2.5,3.5
147,DockerFill,1,2.5
148,DockerFill,3,3
149,DockerFill,3.5,3
150,DockerFill,3,3.5
151,DockerFill,5,5
152,DockerFill,5,5
153,DockerFill,5,5
154,DockerFill,3,1.5
155,DockerFill,1,2
156,DockerFill,1,1.5
157,DockerFill,1,5
158,DockerFill,3.5,5
159,DockerFill,5,5
160,DockerFill,3,4
161,DockerFill,1,1.5
162,DockerFill,1,1.5
163,DockerFill,1,1.5
164,DockerFill,1,2.5
165,DockerFill,1,4.5
166,DockerFill,2.5,4.5
167,DockerFill,3,2.5
168,DockerFill,5,5
169,DockerFill,3,3.5
170,DockerFill,1,1.5
171,DockerFill,2.5,3
172,DockerFill,4,2.5
173,DockerFill,3.5,3.5
174,DockerFill,3.5,3.5
175,DockerFill,2.5,1.5
176,DockerFill,3,3.5
177,DockerFill,2.5,3.5
178,DockerFill,1,1.5
179,DockerFill,3,1.5
180,DockerFill,1,3
181,DockerFill,5,5
182,DockerFill,3,3.5
183,DockerFill,1,3.5
184,DockerFill,2.5,1.5
185,DockerFill,1,1.5
186,DockerFill,2.5,1.5
187,DockerFill,2,2
188,DockerFill,3,2.5
189,DockerFill,3.5,3.5
190,DockerFill,1,1.5
191,DockerFill,2.5,1.5
192,DockerFill,3,3
193,DockerFill,1,1.5
194,DockerFill,2.5,2.5
195,DockerFill,5,5
196,DockerFill,5,5
197,DockerFill,1,3.5
198,DockerFill,2.5,1.5
199,DockerFill,5,5
200,DockerFill,5,5
201,DockerFill,5,5
202,DockerFill,1,1.5
203,DockerFill,3,3.5
204,DockerFill,2,2.5
205,DockerFill,3,3.5
206,DockerFill,1,1.5
207,DockerFill,4,4
208,DockerFill,5,5
209,DockerFill,3,2.5
210,DockerFill,1,1.5
211,DockerFill,1,1.5
212,DockerFill,1,3.5
213,DockerFill,1,2.5
214,DockerFill,5,5
215,DockerFill,5,5
216,DockerFill,1,2.5
217,DockerFill,2.5,2.5
218,DockerFill,5,5
219,DockerFill,5,5
220,DockerFill,5,5
221,DockerFill,5,5
222,DockerFill,5,5
223,DockerFill,5,5
224,DockerFill,1,1.5
225,DockerFill,3,2.5
226,DockerFill,1,1.5
227,DockerFill,5,5
228,DockerFill,1,3.5
229,DockerFill,2.5,2.5
230,DockerFill,3.5,3
231,DockerFill,3,2.5
232,DockerFill,1,1.5
233,DockerFill,1,1.5
234,DockerFill,3.5,5
235,DockerFill,4,2.5
236,DockerFill,2,1.5
237,DockerFill,1,1.5
238,DockerFill,2.5,1.5
239,DockerFill,4,3.5
240,DockerFill,1,2.5
241,DockerFill,1,1.5
242,DockerFill,1,1.5
243,DockerFill,5,5
244,DockerFill,2.5,1.5
245,DockerFill,1,1.5
246,DockerFill,1,2
247,DockerFill,3,2
248,DockerFill,2,2.5
249,DockerFill,3.5,3
250,DockerFill,3,2.5
251,DockerFill,1,5
252,DockerFill,1,1.5
253,DockerFill,2.5,2.5
254,DockerFill,4,4
1,CodeBERT,1,2.5
2,CodeBERT,1,3.5
3,CodeBERT,1,3
4,CodeBERT,5,5
5,CodeBERT,1,1.5
6,CodeBERT,3.5,2.5
7,CodeBERT,3.5,3.5
8,CodeBERT,2.5,1.5
9,CodeBERT,5,5
10,CodeBERT,2.5,1.5
11,CodeBERT,1,2.5
12,CodeBERT,2,1.5
13,CodeBERT,3,2.5
14,CodeBERT,1,3
15,CodeBERT,5,5
16,CodeBERT,1,3.5
17,CodeBERT,3,3
18,CodeBERT,1,2.5
19,CodeBERT,3,1.5
20,CodeBERT,5,5
21,CodeBERT,4.5,3.5
22,CodeBERT,4,2.5
23,CodeBERT,1,2.5
24,CodeBERT,5,5
25,CodeBERT,1,1.5
26,CodeBERT,5,5
27,CodeBERT,3.5,2.5
28,CodeBERT,1,2.5
29,CodeBERT,5,5
30,CodeBERT,5,5
31,CodeBERT,1,1.5
32,CodeBERT,1,2.5
33,CodeBERT,1,1.5
34,CodeBERT,3,2.5
35,CodeBERT,5,5
36,CodeBERT,5,5
37,CodeBERT,5,5
38,CodeBERT,2.5,1.5
39,CodeBERT,3.5,3
40,CodeBERT,5,5
41,CodeBERT,1,1.5
42,CodeBERT,3.5,3.5
43,CodeBERT,5,5
44,CodeBERT,1,2.5
45,CodeBERT,3,2.5
46,CodeBERT,3.5,2.5
47,CodeBERT,1,2.5
48,CodeBERT,1,2.5
49,CodeBERT,1,2.5
50,CodeBERT,3,1.5
51,CodeBERT,2.5,1.5
52,CodeBERT,3.5,1.5
53,CodeBERT,2.5,1.5
54,CodeBERT,3.5,2.5
55,CodeBERT,1,1.5
56,CodeBERT,1,1.5
57,CodeBERT,3.5,2.5
58,CodeBERT,3,2.5
59,CodeBERT,5,5
60,CodeBERT,3,2.5
61,CodeBERT,3.5,3.5
62,CodeBERT,5,5
63,CodeBERT,1,1.5
64,CodeBERT,1,1.5
65,CodeBERT,1,1.5
66,CodeBERT,5,5
67,CodeBERT,3.5,2.5
68,CodeBERT,1,1.5
69,CodeBERT,2.5,1.5
70,CodeBERT,2.5,1.5
71,CodeBERT,4,2.5
72,CodeBERT,4,2.5
73,CodeBERT,4,2.5
74,CodeBERT,3.5,2.5
75,CodeBERT,5,5
76,CodeBERT,5,5
77,CodeBERT,3,2.5
78,CodeBERT,1,2.5
79,CodeBERT,1,1.5
80,CodeBERT,1,3.5
81,CodeBERT,4,3.5
82,CodeBERT,5,5
83,CodeBERT,1,1.5
84,CodeBERT,1,1.5
85,CodeBERT,1,2.5
86,CodeBERT,1,1.5
87,CodeBERT,1,2.5
88,CodeBERT,3,3.5
89,CodeBERT,1,1.5
90,CodeBERT,4,2.5
91,CodeBERT,3,2.5
92,CodeBERT,5,5
93,CodeBERT,4,2.5
94,CodeBERT,2.5,1.5
95,CodeBERT,1,1.5
96,CodeBERT,1,1.5
97,CodeBERT,1,1.5
98,CodeBERT,2.5,1.5
99,CodeBERT,3,3.5
100,CodeBERT,4,3.5
101,CodeBERT,3.5,3
102,CodeBERT,1,2.5
103,CodeBERT,4,4
104,CodeBERT,2,1.5
105,CodeBERT,5,5
106,CodeBERT,3,3.5
107,CodeBERT,5,5
108,CodeBERT,1,1.5
109,CodeBERT,1,1.5
110,CodeBERT,1,1.5
111,CodeBERT,1,1.5
112,CodeBERT,1,1.5
113,CodeBERT,2.5,1.5
114,CodeBERT,3,2.5
115,CodeBERT,1,2.5
116,CodeBERT,1,1.5
117,CodeBERT,3.5,3
118,CodeBERT,3,2.5
119,CodeBERT,1,1.5
120,CodeBERT,1,1.5
121,CodeBERT,1,1.5
122,CodeBERT,1,2.5
123,CodeBERT,4,2.5
124,CodeBERT,2.5,1.5
125,CodeBERT,4,2.5
126,CodeBERT,2.5,1.5
127,CodeBERT,1,1.5
128,CodeBERT,1,1.5
129,CodeBERT,1,2.5
130,CodeBERT,1,2.5
131,CodeBERT,1,1.5
132,CodeBERT,2.5,1.5
133,CodeBERT,5,5
134,CodeBERT,1,1.5
135,CodeBERT,1,1.5
136,CodeBERT,5,5
137,CodeBERT,2.5,1.5
138,CodeBERT,3,3.5
139,CodeBERT,2.5,1.5
140,CodeBERT,2.5,1.5
141,CodeBERT,5,5
142,CodeBERT,1,1.5
143,CodeBERT,3,2.5
144,CodeBERT,1,1.5
145,CodeBERT,5,5
146,CodeBERT,2.5,1.5
147,CodeBERT,1,1.5
